trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
746,False,"{'a': 0.5, 'e': 3.2241866333029355e-08}",30,10,35.99371671129346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 3.066941200502269e-08}",35,15,35.412645976384766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.5, 'e': 2.9173647174949918e-08}",25,11,27.390584581697432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 2.7750831652298882e-08}",20,6,27.604783551398235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 2.6397407657759334e-08}",20,12,16.723825372570023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.5, 'e': 2.5109990926928157e-08}",25,10,25.32009537797144,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.5, 'e': 2.3885362247890705e-08}",25,14,21.610637454587714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 2.2720459411519266e-08}",20,3,32.95959240079825,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 2.1612369554359814e-08}",25,13,25.969941539775963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.5, 'e': 2.0558321874959876e-08}",35,23,23.903044536763964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 1.955568070542584e-08}",25,18,15.162987790635729,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.5, 'e': 1.8601938920883374e-08}",30,16,26.95644480742051,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.5, 'e': 1.7694711670362436e-08}",30,8,43.36985357670727,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
